name,label,description,addressLine1,addressLine2,addressLine3,city,state,pincode,latitude,longitude
"churchgate, Mumbai",Chur240,Streamlined operations and reporting,na,na,Building 10,Mumbai,Maharashtra,400001,18.9581934,72.8320729
"Nalasopara, Mumbai",Nala241,Streamlined operations and reporting,na,na,Building 11,Mumbai,Maharashtra,400001,18.9581934,72.8320729
"Vasai Road, Mumbai",Vasa242,Streamlined operations and reporting,na,na,Building 12,Mumbai,Maharashtra,400001,19.4096533,72.8208183
"Andheri, Mumbai",Andh243,Streamlined operations and reporting,na,na,Building 13,Mumbai,Maharashtra,400001,19.113645,72.8697339
"Matunga, Mumbai",Matu244,Streamlined operations and reporting,na,na,Building 14,Mumbai,Maharashtra,400001,19.0268747,72.8553352
"Mulund, Mumbai",Mulu245,Streamlined operations and reporting,na,na,Building 15,Mumbai,Maharashtra,400001,19.1765331,72.947533
"Turbhe, Navi Mumbai",Turb246,Streamlined operations and reporting,na,na,Building 16,Mumbai,Maharashtra,400001,19.0807836,73.026798
"Sanpada, Navi Mumbai",Sanp247,Streamlined operations and reporting,na,na,Building 17,Mumbai,Maharashtra,400001,19.0601115,73.0140591
"Uran, Navi Mumbai",Uran248,Streamlined operations and reporting,na,na,Building 18,Mumbai,Maharashtra,400001,18.8772346,72.9283391
"Dadar (Central), Mumbai",Dada249,Streamlined operations and reporting,na,na,Building 19,Mumbai,Maharashtra,400001,19.0191157,72.8439253
