date,item,sku,quantity,unit_cost,value,reason,category,outlet
2024-12-01,Chicken (Raw),RAW001,2.5,180,450,Expired,Meat,Outlet 1
2024-12-01,Paneer,RAW002,1.2,320,384,Spoiled,Dairy,Outlet 1
2024-12-01,Tomatoes,RAW003,3.0,40,120,Overripe,Vegetables,Outlet 1
2024-12-01,Onions,RAW004,2.0,35,70,Damaged,Vegetables,Outlet 1
2024-12-01,Naan (Prepared),SKU006,15,12,180,Unsold,Breads,Outlet 1
2024-12-01,Butter Chicken,SKU002,3,85,255,Unsold,Main Course,Outlet 1
2024-12-02,Fish (Raw),RAW005,1.8,420,756,Expired,Seafood,Outlet 1
2024-12-02,Yogurt,RAW006,2.0,80,160,Expired,Dairy,Outlet 1
2024-12-02,Capsicum,RAW007,1.5,120,180,Spoiled,Vegetables,Outlet 1
2024-12-02,Chicken Biryani,SKU001,4,95,380,Unsold,Main Course,Outlet 1
2024-12-02,Tandoori Roti,SKU007,20,8,160,Unsold,Breads,Outlet 1
2024-12-02,Rice,RAW008,5.0,45,225,Pest Damage,Grains,Outlet 1
2024-12-03,Mutton (Raw),RAW009,1.5,550,825,Expired,Meat,Outlet 1
2024-12-03,Cream,RAW010,1.0,280,280,Spoiled,Dairy,Outlet 1
2024-12-03,Coriander,RAW011,0.5,160,80,Wilted,Herbs,Outlet 1
2024-12-03,Dal Makhani,SKU004,2,55,110,Unsold,Main Course,Outlet 1
2024-12-03,Gulab Jamun,SKU008,12,18,216,Unsold,Desserts,Outlet 1
2024-12-04,Prawns (Raw),RAW012,0.8,680,544,Expired,Seafood,Outlet 1
2024-12-04,Ghee,RAW013,0.5,520,260,Rancid,Dairy,Outlet 1
2024-12-04,Ginger,RAW014,0.8,180,144,Moldy,Vegetables,Outlet 1
2024-12-04,Paneer Tikka,SKU003,5,65,325,Unsold,Starters,Outlet 1
2024-12-04,Lassi,SKU009,8,28,224,Unsold,Beverages,Outlet 1
2024-12-05,Chicken (Raw),RAW001,1.8,180,324,Expired,Meat,Outlet 1
2024-12-05,Milk,RAW015,3.0,55,165,Soured,Dairy,Outlet 1
2024-12-05,Potatoes,RAW016,4.0,25,100,Sprouted,Vegetables,Outlet 1
2024-12-05,Veg Pulao,SKU005,3,48,144,Unsold,Rice,Outlet 1
2024-12-05,Naan,SKU006,18,12,216,Unsold,Breads,Outlet 1
2024-12-06,Fish (Raw),RAW005,1.2,420,504,Spoiled,Seafood,Outlet 1
